Date,Geography,CPI,Income,Median_Income
1981,Prince Edward Island,52.7,28100,23000
1982,Prince Edward Island,57.8,27300,19900
1983,Prince Edward Island,60.7,26900,21300
1984,Prince Edward Island,63.3,27500,18700
1985,Prince Edward Island,65.6,28500,19700
1986,Prince Edward Island,67,28400,21200
1987,Prince Edward Island,69.4,28700,20300
1988,Prince Edward Island,71.9,27400,20500
1989,Prince Edward Island,74.6,28700,23600
1990,Prince Edward Island,78.4,28400,20000
1991,Prince Edward Island,84.3,27600,18800
1992,Prince Edward Island,85,27600,19200
1993,Prince Edward Island,86.6,26500,18400
1994,Prince Edward Island,86.4,27200,20000
1995,Prince Edward Island,87.8,27500,20600
1996,Prince Edward Island,89.4,28300,21000
1997,Prince Edward Island,90.5,27300,21100
1998,Prince Edward Island,90.1,29200,20800
1999,Prince Edward Island,91.2,29500,20800
2000,Prince Edward Island,94.9,31200,22300
2001,Prince Edward Island,97.4,30800,22400
2002,Prince Edward Island,100,30900,21600
2003,Prince Edward Island,103.5,30500,22100
2004,Prince Edward Island,105.8,31900,24200
2005,Prince Edward Island,109.1,33000,25400
2006,Prince Edward Island,111.6,33700,26100
2007,Prince Edward Island,113.6,34000,26200
2008,Prince Edward Island,117.5,35000,26800
2009,Prince Edward Island,117.3,35700,27400
2010,Prince Edward Island,119.5,35200,27300
2011,Prince Edward Island,123,36600,27900
2012,Prince Edward Island,125.5,37000,28300
2013,Prince Edward Island,128,39300,30600
2014,Prince Edward Island,130.1,38800,30100
2015,Prince Edward Island,129.3,38600,30400
2016,Prince Edward Island,130.8,39800,29600
2017,Prince Edward Island,133.2,38000,29700
2018,Prince Edward Island,136.3,39400,30600
2019,Prince Edward Island,137.9,39400,31800
2020,Prince Edward Island,137.9,40600,32900
2021,Prince Edward Island,144.9,41900,33700
1981,Ontario,48.2,42100,37500
1982,Ontario,53.3,40400,35400
1983,Ontario,56.6,41400,34600
1984,Ontario,59.4,42000,36000
1985,Ontario,61.8,42900,36500
1986,Ontario,64.6,44600,38900
1987,Ontario,67.8,45000,39300
1988,Ontario,71,47300,41300
1989,Ontario,75.1,46400,41200
1990,Ontario,78.7,45700,38800
1991,Ontario,82.4,44700,37600
1992,Ontario,83.2,44900,38000
1993,Ontario,84.7,44900,38000
1994,Ontario,84.7,45800,38500
1995,Ontario,86.8,45300,38800
1996,Ontario,88.2,46700,39300
1997,Ontario,89.8,46800,39200
1998,Ontario,90.6,49300,40300
1999,Ontario,92.4,49900,40600
2000,Ontario,95.1,51100,40800
2001,Ontario,98,50200,40300
2002,Ontario,100,50100,40400
2003,Ontario,102.7,49900,39300
2004,Ontario,104.6,50000,38300
2005,Ontario,106.9,50400,39700
2006,Ontario,108.8,49600,39300
2007,Ontario,110.8,50000,39100
2008,Ontario,113.3,51000,40300
2009,Ontario,113.7,49700,38900
2010,Ontario,116.5,50000,38800
2011,Ontario,120.1,49700,38800
2012,Ontario,121.8,50600,39200
2013,Ontario,123,51100,39000
2014,Ontario,125.9,51100,39800
2015,Ontario,127.4,52300,39800
2016,Ontario,129.7,52300,40000
2017,Ontario,131.9,53600,40400
2018,Ontario,135,53000,41000
2019,Ontario,137.5,52100,41100
2020,Ontario,138.4,52600,40800
2021,Ontario,143.2,55300,42800
1981,Nova Scotia,50.8,34300,29800
1982,Nova Scotia,55.6,33800,29200
1983,Nova Scotia,59.1,33200,29200
1984,Nova Scotia,61.7,34600,28000
1985,Nova Scotia,64.5,36700,28300
1986,Nova Scotia,66.5,35600,28300
1987,Nova Scotia,68.8,36700,30800
1988,Nova Scotia,71.2,36600,31800
1989,Nova Scotia,74.4,36600,30300
1990,Nova Scotia,78.2,36400,29100
1991,Nova Scotia,82.9,35100,28200
1992,Nova Scotia,83.5,35600,27900
1993,Nova Scotia,84.5,34400,27700
1994,Nova Scotia,85.5,34000,27100
1995,Nova Scotia,86.6,33700,27000
1996,Nova Scotia,88.2,32800,27100
1997,Nova Scotia,90,34800,27900
1998,Nova Scotia,90.6,36200,28100
1999,Nova Scotia,92.1,37900,29500
2000,Nova Scotia,95.3,38500,30500
2001,Nova Scotia,97.1,38400,30100
