Year_Country,Country,Year,fossil_fuel_consumption,wind_consumption,hydro_consumption,solar_consumption,biofuel_consumption,coal_consumption
1965_Algeria,Algeria,1965,23.65,0.0,1.111,0.0,0.0,0.814
1966_Algeria,Algeria,1966,28.783,0.0,0.986,0.0,0.0,0.791
1967_Algeria,Algeria,1967,27.035,0.0,1.139,0.0,0.0,0.605
1968_Algeria,Algeria,1968,28.68,0.0,1.564,0.0,0.0,0.64
1969_Algeria,Algeria,1969,32.472,0.0,1.003,0.0,0.0,0.814
1970_Algeria,Algeria,1970,35.044,0.0,1.611,0.0,0.0,0.965
1971_Algeria,Algeria,1971,38.757,0.0,0.917,0.0,0.0,0.267
1972_Algeria,Algeria,1972,43.184,0.0,1.375,0.0,0.0,0.233
1973_Algeria,Algeria,1973,51.027,0.0,2.089,0.0,0.0,0.267
1974_Algeria,Algeria,1974,57.439,0.0,1.381,0.0,0.0,0.221
1975_Algeria,Algeria,1975,69.4,0.0,0.911,0.0,0.0,0.279
1976_Algeria,Algeria,1976,80.952,0.0,1.081,0.0,0.0,0.547
1977_Algeria,Algeria,1977,89.417,0.0,0.747,0.0,0.0,0.709
1978_Algeria,Algeria,1978,112.622,0.0,0.694,0.0,0.0,0.361
1979_Algeria,Algeria,1979,147.68,0.0,0.808,0.0,0.0,0.837
1980_Algeria,Algeria,1980,176.383,0.0,0.714,0.0,0.0,0.744
1981_Algeria,Algeria,1981,214.104,0.0,1.017,0.0,0.0,0.523
1982_Algeria,Algeria,1982,246.696,0.0,1.331,0.0,0.0,9.711
1983_Algeria,Algeria,1983,270.272,0.0,0.653,0.0,0.0,8.664
1984_Algeria,Algeria,1984,258.86,0.0,1.256,0.0,0.0,9.606
1985_Algeria,Algeria,1985,260.387,0.0,1.794,0.0,0.0,10.025
1986_Algeria,Algeria,1986,276.752,0.0,0.694,0.0,0.0,10.293
1987_Algeria,Algeria,1987,283.693,0.0,1.386,0.0,0.0,12.305
1988_Algeria,Algeria,1988,304.881,0.0,0.508,0.0,0.0,11.572
1989_Algeria,Algeria,1989,296.4,0.0,0.628,0.0,0.0,9.781
1990_Algeria,Algeria,1990,314.575,0.0,0.375,0.0,0.0,7.664
1991_Algeria,Algeria,1991,311.229,0.0,0.814,0.0,0.0,7.908
1992_Algeria,Algeria,1992,319.639,0.0,0.553,0.0,0.0,9.397
1993_Algeria,Algeria,1993,296.951,0.0,0.981,0.0,0.0,7.653
1994_Algeria,Algeria,1994,301.43,0.0,0.461,0.0,0.0,7.211
1995_Algeria,Algeria,1995,312.574,0.0,0.536,0.0,0.0,7.211
1996_Algeria,Algeria,1996,309.526,0.0,0.375,0.0,0.0,3.396
1997_Algeria,Algeria,1997,297.638,0.0,0.208,0.0,0.0,5.955
1998_Algeria,Algeria,1998,307.713,0.0,0.597,0.0,0.0,6.373
1999_Algeria,Algeria,1999,310.834,0.0,0.564,0.0,0.0,6.827
2000_Algeria,Algeria,2000,299.786,0.0,0.15,0.0,0.0,5.641
2001_Algeria,Algeria,2001,310.611,0.0,0.19,0.0,0.0,6.513
2002_Algeria,Algeria,2002,321.784,0.0,0.156,0.0,0.0,8.548
2003_Algeria,Algeria,2003,336.154,0.0,0.722,0.0,0.0,7.048
2004_Algeria,Algeria,2004,349.055,0.0,0.679,0.0,0.0,8.408
2005_Algeria,Algeria,2005,364.682,0.0,1.494,0.0,0.0,6.908
2006_Algeria,Algeria,2006,378.601,0.0,0.582,0.0,0.0,10.258
